Label,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Subsample,Precision,Recall,AUC,Accuracy
Immune,Imbalanced,Imbalanced,XGBoost,0.67,0.33,5,25%,0.962616822,0.600083229,0.752903568,0.660660661
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.33,5,25%,0.96373057,0.609836066,0.761708156,0.67357513
Immune,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,5,25%,0.927110645,0.590415762,0.641976927,0.641976927
Immune,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,5,25%,0.948060487,0.608053974,0.668474688,0.668474688
Immune,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,5,25%,0.944493392,0.618580496,0.681057269,0.681057269
Immune,Imbalanced,Imbalanced,XGBoost,0.83,0.17,5,25%,0.935246996,0.632791328,0.696442711,0.69636303
Immune,Imbalanced,Imbalanced,Random Forest,0.83,0.17,5,25%,0.936528497,0.633099825,0.696891192,0.696891192
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.83,6,30%,0.596844873,0.89291958,0.644820446,0.644847558
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.83,6,30%,0.616827637,0.909863014,0.67225132,0.672283875
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.83,6,30%,0.621736948,0.909324523,0.677945405,0.677987883
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.83,6,30%,0.628549792,0.923248053,0.688820912,0.688820912
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.83,6,30%,0.622238586,0.912526998,0.679265659,0.679265659
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.67,6,30%,0.564507198,0.891171329,0.601760528,0.601792154
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.67,6,30%,0.587292918,0.883835616,0.631284758,0.631319359
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.67,6,30%,0.596534049,0.897209985,0.645079469,0.645125757
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.67,6,30%,0.603115727,0.904338154,0.65461624,0.65461624
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.67,6,30%,0.601744186,0.894168467,0.651187905,0.651187905
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,6,30%,0.752276867,0.451267483,0.651316801,0.65129494
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,6,30%,0.810242588,0.411780822,0.657658019,0.657624332
